11-Dec-21,18:31:52.393 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324514512
11-Dec-21,18:31:52.393 7        5cde atm_tasks::calculateActualTimes, Timeest = 01:00
11-Dec-21,18:31:52.393 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324518112 = 2011-12-21 20:41:52
11-Dec-21,18:31:52.393 7        5cde atm_tasks::calculateActualTimes, Task 3 start time: 19:41:52
11-Dec-21,18:31:52.393 7        5cde atm_tasks::calculateActualTimes, Task 3 end time: 20:41:52
11-Dec-21,18:31:52.394 7        5cde atm_tasks::insertTaskToSchedule, Current schedule for user 1:
11-Dec-21,18:31:52.394 7        5cde atm_tasks::insertTaskToSchedule,   2 start time = 2011-12-21 18:31:52, duration = 00:50
11-Dec-21,18:31:52.394 7        5cde atm_tasks::insertTaskToSchedule,   1 start time = 2011-12-21 19:21:52, duration = 00:20
11-Dec-21,18:31:52.394 7        5cde atm_tasks::insertTaskToSchedule,   3 start time = 2011-12-21 19:41:52, duration = 01:00
11-Dec-21,18:31:52.395 7        5cde atm_tasks::insertTaskToSchedule, Inserting task 4
11-Dec-21,18:31:52.395 7        5cde ent_dependency::depend_parents, Getting tasks that task 4 depends on.
11-Dec-21,18:31:52.395 7        5cde ent_dependency::depend_parents, Tasks found: 1
11-Dec-21,18:31:52.396 7        5cde ent_dependency::depend_parents, Getting tasks that task 1 depends on.
11-Dec-21,18:31:52.396 7        5cde ent_dependency::depend_parents, Tasks found: 1
11-Dec-21,18:31:52.396 7        5cde ent_dependency::depend_parents, Getting tasks that task 2 depends on.
11-Dec-21,18:31:52.397 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.397 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.397 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.398 7        5cde atm_tasks::insertTaskToSchedule, Skipping all tasks until 
11-Dec-21,18:31:52.398 7        5cde atm_tasks::insertTaskToSchedule, Skipping all parents. Parent count: 1
11-Dec-21,18:31:52.398 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = 1
11-Dec-21,18:31:52.398 7        5cde atm_tasks::insertTaskToSchedule, Skpping task to include parents: 2
11-Dec-21,18:31:52.399 7        5cde atm_tasks::insertTaskToSchedule, Task 2 skipped
11-Dec-21,18:31:52.399 7        5cde atm_tasks::insertTaskToSchedule, Skpping task to include parents: 1
11-Dec-21,18:31:52.399 7        5cde atm_tasks::insertTaskToSchedule, Task 1 skipped
11-Dec-21,18:31:52.399 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.400 7        5cde atm_tasks::calculateActualTimes, Task 2 duration: 3000 s
11-Dec-21,18:31:52.400 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.400 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:50
